dateTime,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage
2018-08-01 00:00:00,,,
2018-08-01 00:15:00,,,
2018-08-01 00:30:00,,,
2018-08-01 00:45:00,,,
2018-08-01 01:00:00,,,
2018-08-01 01:15:00,,,
2018-08-01 01:30:00,,,
2018-08-01 01:45:00,,,
2018-08-01 02:00:00,,,
2018-08-01 02:15:00,,,
2018-08-01 02:30:00,,,
2018-08-01 02:45:00,,,
2018-08-01 03:00:00,,,
2018-08-01 03:15:00,,,
2018-08-01 03:30:00,,,
2018-08-01 03:45:00,,,
2018-08-01 04:00:00,,,
2018-08-01 04:15:00,,,
2018-08-01 04:30:00,,,
2018-08-01 04:45:00,,,
2018-08-01 05:00:00,,,
2018-08-01 05:15:00,,,
2018-08-01 05:30:00,,,
2018-08-01 05:45:00,,,
2018-08-01 06:00:00,,,
2018-08-01 06:15:00,,,
2018-08-01 06:30:00,,,
2018-08-01 06:45:00,,,
2018-08-01 07:00:00,,,
2018-08-01 07:15:00,,,
2018-08-01 07:30:00,,,
2018-08-01 07:45:00,,,
2018-08-01 08:00:00,,,
2018-08-01 08:15:00,,,
2018-08-01 08:30:00,,,
2018-08-01 08:45:00,,,
2018-08-01 09:00:00,,,
2018-08-01 09:15:00,,,
2018-08-01 09:30:00,,,
2018-08-01 09:45:00,,,
2018-08-01 10:00:00,,,
2018-08-01 10:15:00,,,
2018-08-01 10:30:00,,,
2018-08-01 10:45:00,,,
2018-08-01 11:00:00,,,
2018-08-01 11:15:00,,,
2018-08-01 11:30:00,,,
2018-08-01 11:45:00,,,
2018-08-01 12:00:00,,,
2018-08-01 12:15:00,,,
2018-08-01 12:30:00,,,
2018-08-01 12:45:00,,,
2018-08-01 13:00:00,,,
2018-08-01 13:15:00,,,
2018-08-01 13:30:00,,,
2018-08-01 13:45:00,,,
2018-08-01 14:00:00,,,
2018-08-01 14:15:00,,,
2018-08-01 14:30:00,,,
2018-08-01 14:45:00,,,
2018-08-01 15:00:00,,,
2018-08-01 15:15:00,,,
2018-08-01 15:30:00,,,
2018-08-01 15:45:00,,,
2018-08-01 16:00:00,,,
2018-08-01 16:15:00,,,
2018-08-01 16:30:00,,,
2018-08-01 16:45:00,,,
2018-08-01 17:00:00,,,
2018-08-01 17:15:00,,,
2018-08-01 17:30:00,,,
2018-08-01 17:45:00,662.5,15.0,647.5
2018-08-01 18:00:00,648.0,11.0,637.0
2018-08-01 18:15:00,845.0,13.0,832.0
2018-08-01 18:30:00,889.0,13.0,876.0
2018-08-01 18:45:00,817.0,12.0,805.0
2018-08-01 19:00:00,737.0,8.0,729.0
2018-08-01 19:15:00,773.0,7.0,766.0
2018-08-01 19:30:00,762.0,4.0,758.0
2018-08-01 19:45:00,747.0,1.0,746.0
2018-08-01 20:00:00,651.0,8.0,643.0
2018-08-01 20:15:00,723.0,6.0,717.0
2018-08-01 20:30:00,706.0,8.0,698.0
2018-08-01 20:45:00,636.0,6.0,630.0
2018-08-01 21:00:00,600.0,7.0,593.0
2018-08-01 21:15:00,650.0,5.0,645.0
2018-08-01 21:30:00,551.0,3.0,548.0
2018-08-01 21:45:00,509.0,5.0,504.0
2018-08-01 22:00:00,401.0,3.0,398.0
2018-08-01 22:15:00,451.0,2.0,449.0
2018-08-01 22:30:00,400.0,4.0,396.0
